index	*ID	version	disabled	spawnable	disableChronicle	DropConditionCalc	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Lightsabre	259	100		1					5	1	66	58	7cr	Phase Blade	0	5	5000	lblu			invcrsu				light		7	7	att-skill	53	5	0	ignore-ac	1	1	1	abs-ltng%		25	25	swing2		20	20	dmg-mag		105	120	dmg-ltng		151	200	manasteal		7	7	dmg%		188	200	dmg-norm		25	30										0
Doombringer	260	100		1					1	1	75	69	7b7	Champion Sword	0	5	5000	dred	dred		invbswu				hp%		20	20	dmg%		233	250	att%		40	40	indestruct		1	1	dmg-norm		83	100	hit-skill	72	8	3	lifesteal		7	7																						0
The Grandfather	261	100		1					1	1	85	81	7gd	Colossus Blade	0	5	5000	lyel	lyel		invgsdu				str		20	20	dex		20	20	vit		20	20	enr		20	20	att%		50	50	hp		80	80	dmg/lvl	20			indestruct		1	1	dmg%		225	250														0
Wizardspike	262	100		1					1	1	69	61	7dg	Bone Knife	0	5	5000	lgry	lgry						mana/lvl	16			regen-mana		15	15	mana%		15	15	res-all		75	75	indestruct		1	1	cast3		50	50																										0
Constricting Ring	263	100		0	1				1		95	95	rin	Ring		5	5000	cblu	cblu						res-all		100	100	regen		-30	-30	mag%		100	100	res-all-max		15	15										0																								0
Stormspire	264	100		1					1	1	78	70	7wc	Giant Thresher	0	5	5000	dblu	dblu						res-ltng		50	50	gethit-skill	53	5	5	dmg%		225	250	str		10	10	gethit-skill	38	2	0	swing2		30	30	indestruct		1	1	dmg-ltng		178	237	light-thorns		27	27														0
Eaglehorn	265	100		1					1	1	77	69	6l7	Crusader Bow	0	5	5000	dgld	dgld						ignore-ac		1	1	att/lvl	12			dmg%/lvl	16			dmg%		200	200	ama		1	1	dex		25	25																										0
Windforce	266	100		1					1	1	80	73	6lw	Hydra Bow	0	5	5000	dyel	dyel						dex		5	5	dmg/lvl	25			regen-stam		30	30	manasteal		8	8	knock		1	1	dmg%		250	250	swing2		20	20	str		10	10																		0
Rings																																																																										0
Bul Katho's Wedding Band	268	100		1					1	1	66	58	rin	Ring	0	5	5000	dpur	dpur						hp/lvl	4			allskills		1	1	lifesteal		5	5	stam		50	50																																		0
The Cat's Eye	269	100		1					5	1	58	50	amu	Amulet	0	5	5000	oran	oran						move2		30	30	swing2		20	20	ac		100	100	ac-miss		100	100	dex		25	25																														0
The Rising Sun	270	100		1					5	1	73	65	amu	Amulet	0	5	5000	lgld	lgld						abs-fire/lvl	6			light		4	4	gethit-skill	56	2	0	dmg-fire		42	48	fireskill		2	2	regen		10	10																										0
Crescent Moon	271	100		1					5	1	58	50	amu	Amulet	0	5	5000	lblu	lblu						manasteal		14	15	red-mag		10	10	dmg-to-mana		10	10	light		-2	-2	mana		45	45	lifesteal		6	6																										0
Mara's Kaleidoscope	272	100		1					5	1	80	67	amu	Amulet	0	5	5000	oran	oran						allskills		2	2	res-all		28	30	str		5	5	dex		5	5	vit		5	5	enr		5	5																										0
Atma's Scarab	273	100		1					5	1	60	60	amu	Amulet	0	5	5000	cgrn	cgrn						dmg-pois	100	102	102	res-pois		75	75	light		3	3	thorns		5	5	hit-skill	66	5	2	att%		20	20																										0
Dwarf Star	274	100		1					10	1	53	45	rin	Ring	0	5	5000	dgry	dgry						gold%		100	100	stam		40	40	regen-stam		15	15	hp		40	40	red-mag		15	15	abs-fire%		15	15																										0
Raven Frost	275	100		1					10	1	53	45	rin	Ring	0	5	5000	cblu	cblu						nofreeze		1	1	dmg-cold	100	38	45	abs-cold%		20	20	mana		40	40	dex		19	20	att		225	250																										0
Highlord's Wrath	276	100		1					5	1	73	65	amu	Amulet	0	5	5000	bwht	bwht						res-ltng		35	35	dmg-ltng		23	30	swing2		20	20	allskills		1	1	deadly/lvl	3			light-thorns		15	15																										0
Saracen's Chance	277	100		1					5	1	55	47	amu	Amulet	0	5	5000	dpur	dpur						res-all		23	25	gethit-skill	76	10	2	str		12	12	dex		12	12	enr		12	12	vit		12	12																										0
Class Specific																																																																										0
Arreat's Face	279	100		1					1	1	50	42	baa	Slayer Guard	0	5	5000								bar		2	2	skilltab	12	2	2	ac%		150	200	balance2		30	30	att%		20	20	str		20	20	dex		20	20	lifesteal		6	6	res-all		30	30														0
Homunculus	280	100		1					1	1	50	42	nea	Heirophant Trophy	0	5	5000								nec		2	2	skilltab	6	2	2	ac%		150	200	block2		30	30	block		40	40	enr		20	20	regen-mana		33	33	mana-kill		5	5	res-all		40	40														0
Titan's Revenge	281	100		1					1	1	50	42	ama	Ceremonial Javelin	0	5	5000								ama		2	2	skilltab	2	2	2	dmg%		188	200	move2		30	30	rep-quant	30			str		20	20	dex		20	20	lifesteal		8	9	dmg-norm		44	50	stack		60	60										0
Lycander's Aim	282	100		1					1	1	50	42	am7	Ceremonial Bow	0	5	5000								ama		2	2	skilltab	0	2	2	dmg%		188	200	swing2		20	20	ac%		20	20	dex		20	20	enr		20	20	manasteal		8	8	dmg-norm		44	50														0
Lycander's Flank	283	100		1					1	1	50	42	am9	Ceremonial Pike	0	5	5000								ama		2	2	skilltab	2	2	2	dmg%		188	200	swing2		30	30	ac%		20	20	str		20	20	vit		20	20	lifesteal		8	9	dmg-norm		44	50														0
The Oculus	284	100		1					1	1	50	42	oba	Swirling Crystal	0	5	5000								sor		3	3	gethit-skill	54	25	1	res-all		20	20	cast2		30	30	ac%		20	20	vit		20	20	enr		20	20	mana-kill		5	5	mag%		50	50														0
Herald of Zakarum	285	100		1					1	1	50	42	pa9	Aerin Shield	0	5	5000								pal		2	2	skilltab	9	2	2	ac%		150	200	block2		30	30	block		30	30	str		20	20	vit		20	20	att%		20	20	res-all		50	50														0
Cutthroat1	286	100		1					1	1	50	42	9tw	Runic Talons	0	5	5000								ass		2	2	skilltab	20	1	1	dmg%		188	200	balance2		30	30	att%		20	20	str		20	20	dex		20	20	lifesteal		8	9	dmg-norm		44	50														0
Jalal's Mane	287	100		1					1	1	50	42	dra	Dream Spirit	0	5	5000								dru		2	2	skilltab	16	2	2	ac%		150	200	balance2		30	30	att%		20	20	str		20	20	enr		20	20	mana-kill		5	5	res-all		30	30														0
The Scalper	288	100		1					1	1	65	57	9ta	Francisca	0	5	5000								rep-quant	30			dmg%		188	200	att%		25	25	swing2		20	20	openwounds		33	33	lifesteal		6	6	mana-kill		4	4																						0
Bloodmoon	289	100		1					1	1	69	61	7sb	elegant blade	0	5	5000	cred	cred		invsbru				dmg%		248	260	lifesteal		14	15	charged	BloodGolem	9	15	heal-kill		12	13	openwounds		50	50																														0
Djinnslayer	290	100		1					1	1	73	65	7sm	ataghan	0	5	5000	dpur	dpur		invscmu				dmg%		228	240	dmg-fire		438	500	dmg-demon		138	150	att-demon		275	300	abs-ltng		6	7	manasteal		6	6	sock		2	2																						0
Deathbit	291	100		1					1	1	52	44	9tk	battle dart	0	5	5000								deadly		40	40	dmg%		168	180	att		388	450	lifesteal		9	9	manasteal		6	6	rep-quant	25																												0
Warshrike	292	100		1					1	1	83	75	7bk	winged knife	0	5	5000	bwht	bwht		invtk3				dmg%		238	250	pierce		50	50	swing2		30	30	deadly		50	50	rep-quant	30			hit-skill	Nova	25	9																										0
Gutsiphon	293	100		1					1	1	79	71	6rx	demon crossbow	0	5	5000	lgrn	lgrn		invrxbu				dmg%		205	220	pierce		33	33	lifesteal		17	18	slow		25	25	openwounds		33	33																														0
Razoredge	294	100		1					1	1	75	67	7ha	tomahawk	0	5	5000	lblu			invhaxu				dmg%		213	225	swing2		40	40	reduce-ac		33	33	deadly		50	50	openwounds		50	50																														0
Gore Ripper	295	100			1				1							5	5000	dred	dred																																																							0
Demonlimb	296	100		1					1	1	71	63	7sp	tyrant club	0	5	5000	dgrn	dgrn		invspcu				dmg%		218	230	dmg-fire		306	333	lifesteal		12	13	charged	Enchant	20	23	rep-dur	5			dmg-demon		123	123	res-fire		19	20																						0
Steelshade	297	100		1					1	1	70	62	ulm	armet	0	5	5000	blac	blac		invhlmu				ac%		100	130	abs-fire		10	11	manasteal		7	8	regen		16	18																																		0
Tomb Reaver	298	100		1					1	1	85	84	7pa	cryptic axe	0	5	5000	lyel	lyel						swing2		60	60	light		4	4	dmg%		260	280	dmg-undead		210	230	mag%		73	80	res-all		45	50	att-undead		325	350	reanimate	1	10	10	heal-kill		13	14	sock		3	3										0
Deaths's Web	299	100		1					1	1	74	66	7gw	unearthed wand	0	5	5000	bwht	bwht						allskills		2	2	pierce-pois		48	50	heal-kill		11	12	mana-kill		11	12	skilltab	7	2	2																														0
Nature's Peace	300	100		1					3	1	77	69	rin	ring	0	5	5000	dgrn	dgrn						noheal		1	1	rip		1	1	red-dmg		10	11	res-pois		28	30	charged	Oak Sage	27	5																														0
Azurewrath	301	100		1					1	1	85	85	7cr	phase blade	0	5	5000	lgry			invcrs				dmg-mag		438	500	dmg%		260	270	aura	Sanctuary	13	13	dmg-cold	250	438	500	swing2		30	30	all-stats		9	10	light		3	3	allskills		1	1																		0
Seraph's Hymn	302	100		1					3	1	73	65	amu	amulet	0	5	5000	bwht	bwht		invamu2				allskills		2	2	skilltab	11	2	2	dmg-demon		44	50	dmg-undead		44	50	att-demon		225	250	att-undead		225	250	light		2	2																						0
Zakarum's Salvation	303	100			1				1							5	5000																																																									0
Fleshripper	304	100		1					1	1	76	68	7kr	fanged knife	0	5	5000	dred	dred		invkrsu				dmg%		275	300	reduce-ac		50	50	noheal		1	1	crush		25	25	openwounds		50	50	deadly		33	33	slow		20	20																						0
Odium	305	100			1				1							5	5000	blac																																																								0
Horizon's Tornado	306	100		1					5	1	72	64	7fl	scourge	0	5	5000	dpur	dpur						dmg%		268	280	swing2		50	50	slow		20	20	hit-skill	Tornado	20	15	ease		-20	-20																														0
Stone Crusher	307	100		1					4	1	76	68	7wh	legendary mallet	0	5	5000	whit							dmg%		310	320	str		28	30	crush		40	40	reduce-ac		25	25	dmg-ac		-100	-100	dmg		25	30																										0
Jadetalon	308	100		1					1	1	74	66	7wb	wrist sword	0	5	5000	cgrn	cgrn						dmg%		228	240	manasteal		14	15	res-all		48	50	balance2		30	30	skilltab	19	2	2	skilltab	20	2	2																										0
Shadowdancer	309	100		1					1	1	79	71	uhb	myrmidon greaves	0	5	5000	blac	blac						ac%		70	100	move2		30	30	balance2		30	30	dex		23	25	skilltab	19	2	2	ease		-20	-20																										0
Cerebus	310	100		1					1	1	71	63	drb	blood spirit	0	5	5000	bwht	bwht						ac%		130	140	skilltab	16	4	4	lifesteal		10	10	att%		105	120	openwounds		33	33	skill	feral rage	2	2																										0
Tyrael's Might	311	100		1					1	1	85	84	uar	sacred armor	0	5	5000	dblu	dblu		invaaru				ease		-100	-100	indestruct		1	1	ac%		120	150	rip		1	1	dmg-demon		88	100	nofreeze		1	1	move2		20	20	res-all		28	30	str		28	30														0
Souldrain	312	100		1					1	1	82	74	umg	vambraces	0	5	5000	dred	dred						ac%		90	120	manasteal		7	7	lifesteal		7	7	hit-skill	Weaken	8	3	dmg-ac		-50	-50																														0
Runemaster	313	100		1					1	1	80	72	72a	ettin axe	0	5	5000	lblu	lblu						dmg%		258	270	sock		5	5	res-cold-max		5	5	nofreeze		1	1																																		0
Deathcleaver	314	100		1					1	1	78	70	7wa	berserker axe	0	5	5000	dred							dmg%		268	280	deadly		66	66	reduce-ac		33	33	swing2		40	40	heal-kill		9	9																														0
Executioner's Justice	315	100		1					1	1	83	75	7gi	glorious axe	0	5	5000	blac	blac						dmg%		278	290	crush		25	25	reduce-ac		33	33	kill-skill	Decrepify	50	6	swing2		30	30																														0
Stoneraven	316	100		1					1	1	72	64	amd	matriarchal spear	0	5	5000	dgry							dmg%		268	280	dmg-mag		166	187	res-all		45	50	ac		550	600	skilltab	2	3	3																														0
Leviathan	317	100		1					1	1	73	65	uld	kraken shell	0	5	5000	cgrn	cgrn						ac%		170	200	ac		138	150	red-dmg%		23	25	str		48	50	indestruct		1	1																														0
Larzuk's Champion	318	100			1				1							5	5000	lgry		flphmr	invhfh																																																					0
Wisp	319	100		1					1	1	84	76	rin	ring	0	5	5000	bwht	bwht						abs-ltng%		18	20	hit-skill	Lightning	10	16	mag%		18	20	charged	Oak Sage	15	2	charged	Heart of Wolverine	13	5	charged	Spirit of Barbs	11	7																										0
Gargoyle's Bite	320	100		1					1	1	78	70	7ts	winged harpoon	0	5	5000	cgrn	cgrn						dmg%		218	230	rep-quant	30			dmg-pois	250	300	300	lifesteal		14	15	charged	Plague Javelin	60	11																														0
Lacerator	321	100		1					1	1	76	68	7b8	winged axe	0	5	5000	blac	blac						dmg%		195	210	rep-quant	25			swing2		30	30	noheal		1	1	openwounds		33	33	howl		64	64	hit-skill	Amplify Damage	33	3																						0
Mang Song's Lesson	322	100		1					1	1	85	82	6ws	archon staff	0	5	5000	dgld	dgld		inv8wsu				allskills		5	5	pierce-fire		13	15	pierce-ltng		13	15	pierce-cold		13	15	regen-mana		10	10	cast2		30	30																										0
Viperfork	323	100		1					1	1	79	71	7br	war fork	0	5	5000	dgrn	dgrn						dmg%		228	240	dmg-pois	250	333	333	swing2		50	50	att		238	250	hit-skill	Poison Explosion	15	9	res-pois		45	50																										0
Ethereal Edge	324	100		1					1	1	82	74	7ba	silver-edged axe	0	5	5000	whit	whit						dmg%		173	180	swing2		25	25	abs-fire		12	12	dmg-demon		188	200	demon-heal		9	10	att		330	350	ethereal		1	1	indestruct		1	1																		0
Demonhorn's Edge	325	100		1					1	1	69	61	bad	destroyer helm	0	5	5000	dgry	dgry						ac%		120	160	swing2		10	10	lifesteal		6	6	thorns		72	77	skilltab	12	3	3	skilltab	13	3	3	skilltab	14	3	3																						0
The Reaper's Toll	326	100		1					1	1	83	75	7s8	thresher	0	5	5000				invscy				dmg%		228	240	hit-skill	Decrepify	33	1	ignore-ac		1	1	lifesteal		14	15	ease		-25	-25	deadly		33	33	dmg-cold		34	44																						0
Spiritkeeper	327	100		1					1	1	75	67	drd	earth spirit	0	5	5000								ac%		170	190	balance2		20	20	abs-ltng		13	14	res-fire		38	40	abs-cold%		23	25	res-pois-max		10	10	dru		2	2																						0
Hellrack	328	100		1					1	1	84	76	6hx	colossus crossbow	0	5	5000	cred			invhxbu				dmg%		218	230	dmg-elem	33	259	324	swing2		20	20	att%		138	150	sock		2	2	charged	Immolation Arrow	150	18																										0
Alma Negra	329	100		1					1	1	85	77	pac	sacred rondache	0	5	5000	blac	blac						ac%		180	210	block2		30	30	pal		2	2	block		20	20	red-mag		8	9	att%		67	75	dmg%		67	75																						0
Darkforge Spawn	330	100		1					1	1	72	64	nef	bloodlord skull	0	5	5000	cred	cred						ac%		140	180	cast2		30	30	mana%		10	10	skilltab	6	3	3	skilltab	7	3	3	skilltab	8	3	3																										0
Widowmaker	331	100		1					1	1	73	65	6sw	ward bow	0	5	5000	dred	dred		invswbu				dmg%		188	200	deadly		33	33	ignore-ac		1	1	magicarrow		11	11	oskill	Guided Arrow	5	5																														0
Bloodraven's Charge	332	100		1					1	1	79	71	amb	matriarchal bow	0	5	5000	dgld	dgld		invswbu				dmg%		218	230	att%		275	300	explosivearrow		13	13	skilltab	0	4	4	charged	Revive	30	5																														0
Ghostflame	333	100		1					1	1	70	62	7bl	legend spike	0	5	5000	cblu	cblu						dmg%		228	240	ignore-ac		1	1	dmg-mag		108	108	manasteal		14	15	ethereal		1	1	indestruct		1	1	light		2	2																						0
Shadowkiller	334	100		1					1	1	85	78	7cs	battle cestus	0	5	5000				invaxfu				dmg%		208	220	reduce-ac		25	25	freeze		2	2	mana-kill		14	15	hit-skill	Frost Nova	33	8	ethereal		1	1	indestruct		1	1																						0
Gimmershred	335	100		1					1	1	78	70	7ta	flying axe	0	5	5000	lgrn							dmg%		198	210	dmg-fire		417	483	dmg-cold	100	342	397	dmg-ltng		383	501	stack		60	60	swing2		30	30																										0
Griffon's Eye	336	100		1					1	1	84	76	ci3	diadem	0	5	5000								ac		175	200	cast2		25	25	allskills		1	1	extra-ltng		14	15	pierce-ltng		19	20																														0
Windhammer	337	100		1					1	1	76	68	7m7	ogre maul	0	5	5000	cblu	cblu		invmau				dmg%		218	230	crush		50	50	swing2		60	60	hit-skill	Twister	33	22																																		0
Thunderstroke	338	100		1					1	1	77	69	amf	matriarchal javelin	0	5	5000	dblu	dblu						dmg%		188	200	dmg-ltng		384	511	hit-skill	Lightning	20	14	swing2		15	15	pierce-ltng		15	15	skill	Lightning Bolt	3	3	skilltab	2	4	4																						0
Giantmaimer	339	100			1				1							5	5000	cred	cred																																																							0
Demon's Arch	340	100		1					1	1	76	68	7s7	balrog spear	0	5	5000	cred	cred						dmg%		198	210	dmg-fire		301	323	lifesteal		11	12	rep-quant	30			swing2		30	30	dmg-ltng		256	333																										0
Boneflame	341	100		1					1	1	80	72	nee	succubae skull	0	3	5000	dred	dred						ac%		120	150	move2		20	20	gethit-skill	Terror	15	3	nec		3	3	res-all		28	30																														0
Steelpillar	342	100		1					1	1	77	69	7p7	war pike	0	3	5000								dmg%		248	260	swing2		25	25	reduce-ac		20	20	ac%		50	80	indestruct		1	1	crush		25	25																										0
Nightwing's Veil	343	100		1					1	1	75	67	uhm	spired helm	0	3	5000	cblu	cblu						ac%		90	120	allskills		2	2	dex		18	20	abs-cold		8	9	half-freeze		1	1	extra-cold		14	15	ease		-50	-50																						0
Crown of Ages	344	100		1					1	1	85	82	urn	corona	0	3	5000	dgld	dgld						balance2		30	30	res-all		28	30	allskills		1	1	ac		138	150	indestruct		1	1	red-dmg%		14	15	ac%		50	50	sock		2	2																		0
Andariel's Visage	345	100		1					1	1	85	83	usk	demonhead	0	3	5000	dred	dred						ac%		100	150	res-pois		70	70	allskills		2	2	res-pois-max		10	10	swing2		20	20	str		29	30	gethit-skill	92	15	15	charged	278	20	3	lifesteal		10	10	res-fire		-30	-30										0
Darkfear	346	100							1	1			ulm	armet	0	5	5000	blac			invhlmu																																																					0
Dragonscale	347	100		1					1	1	84	80	pae	zakarum shield	0	3	5000	dgrn	dgrn						ac%		170	200	abs-fire%		18	20	res-fire-max		5	5	str		23	25	dmg-fire		331	371	oskill	Hydra	10	10	extra-fire		15	15																						0
Steel Carapice	348	100		1					1	1	74	66	uul	shadow plate	0	3	5000	dgry	dgry						ac%		190	220	balance2		20	20	red-dmg		13	14	res-cold		55	60	regen-mana		14	15	rep-dur	5			gethit-skill	Iron Maiden	8	6																						0
Medusa's Gaze	349	100		1					1	1	84	76	uow	aegis	0	3	5000	lred	lred		invtowu				ac%		150	180	slow		20	20	gethit-skill	Lower Resist	10	7	lifesteal		8	9	death-skill	Nova	100	44	res-cold		70	80																										0
Ravenlore	350	100		1					1	1	82	74	dre	sky spirit	0	3	5000	dgld	dgld						ac%		120	150	res-all		23	25	skilltab	17	3	3	enr		28	30	pierce-fire		18	20	skill	Raven	7	7																										0
Boneshade	351	100		1					1	1	84	79	7bw	lich wand	0	3	5000	dgry	dgry		invbwnu				nec		2	2	cast2		25	25	skill	Teeth	5	5	skill	Bone Armor	5	5	skill	Bone Spear	3	3	skill	Bone Spirit	2	2	skill	Bone Wall	3	3																						0
Nethercrow	352	100			1				1							3	5000	cblu	cblu																																																							0
Flamebellow	353	100		1					1	1	79	71	7gs	balrog blade	0	3	5000	cred	cred		invgisu				dmg%		223	240	dmg-fire		420	482	fireskill		3	3	abs-fire%		28	30	hit-skill	Firestorm	12	16	str		18	20	vit		9	10	oskill	Inferno	17	18																		0
Fathom	354	100		1					1	1	81	73	obf	dimensional shard	0	3	5000	lblu							sor		3	3	extra-cold		27	30	cast2		20	20	res-fire		37	40	res-ltng		37	40																														0
Wolfhowl	355	100		1					1	1	85	79	bac	fury visor	0	3	5000	cred	cred						ac%		120	150	skilltab	14	3	3	str		14	15	dex		14	15	vit		14	15	oskill	Wearwolf	6	6	charged	Summon Fenris	18	15	oskill	Shape Shifting	6	6	oskill	Feral Rage	6	6														0
Spirit Ward	356	100		1					1	1	76	68	uts	ward	0	3	5000	dblu	dblu		invgtsu				ac%		130	180	abs-cold		10	11	res-all		38	40	block		28	30	block2		25	25	gethit-skill	Fade	5	8																										0
Kira's Guardian	357	100		1					1	1	85	77	ci2	tiara	0	3	5000	blac	blac						ac		103	120	res-all		65	70	nofreeze		1	1	balance2		20	20																																		0
Ormus' Robes	358	100		1					1	1	83	75	uui	dusk shroud	0	3	5000	blac	blac						ac		18	20	cast2		20	20	extra-fire		14	15	extra-cold		14	15	extra-ltng		14	15	regen-mana		14	15	skill-rand	3	36	60																						0
Gheed's Fortune	359	100		1					1		70	62	cm3	charm	1001	3	5000	lgld							mag%		35	40	gold%		140	160	cheap		99	99																																						0
Stormlash	360	100		1					1	1	85	82	7fl	scourge	0	3	5000	dgry	dgry						dmg%		285	300	swing2		30	30	hit-skill	Static Field	15	10	hit-skill	Tornado	20	18	dmg-ltng		355	473	light-thorns		30	30	crush		33	33	abs-ltng		8	9																		0
Halaberd's Reign	361	100		1					1	1	85	77	bae	conqueror crown	0	3	5000								ac%		140	170	skilltab	13	1	1	bar		2	2	balance2		20	20	regen		21	23	skill	Battle Orders	2	2	skill	Battle Command	2	2																						0
Warriv's Warder	362	100			1				1							3	5000																																																									0
Spike Thorn	363	100		1					1	1	78	70	upk	blade barrier	0	5	5000	dyel	dyel		invspku				ac%		120	150	thorns/lvl	11			dur		250	250	balance2		30	30	red-dmg%		19	20	sock		1	1																										0
Dracul's Grasp	364	100		1					1	1	84	76	uvg	vampirebone gloves	0	5	5000	dred	dred						ac%		90	120	lifesteal		10	10	openwounds		25	25	hit-skill	Life Tap	5	10	heal-kill		9	10	str		14	15																										0
Frostwind	365	100		1					1	1	78	70	7ls	cryptic sword	0	5	5000	cblu	cblu		invlsdu				dmg%		218	230	freeze		4	4	half-freeze		1	1	dmg-cold	150	424	486	swing2		25	25	abs-cold%		13	15	oskill	Arctic Blast	13	14																						0
Templar's Might	366	100		1					8	1	82	74	uar	sacred armor	0	5	5000	cgrn	cgrn		invaaru				ac%		170	220	balance2		20	20	ac-miss		288	300	stam		48	50	str		14	15	vit		14	15	skilltab	10	2	2																						0
Eschuta's temper	367	100		1					1	1	80	72	obc	eldritch orb	0	5	5000	cred							sor		3	3	cast2		40	40	extra-fire		18	20	extra-ltng		18	20	enr		28	30																														0
Firelizard's Talons	368	100		1					1	1	75	67	7lw	feral claws	0	5	5000								dmg%		253	270	swing2		15	15	skilltab	20	3	3	dmg-fire		419	480	res-fire		63	70	skill	Wake of Fire Sentry	2	2	skill	Inferno Sentry	2	2																						0
Sandstorm Trek	369	100		1					1	1	72	64	uvb	scarabshell boots	0	5	5000								ac%		140	170	move2		20	20	balance2		20	20	stam/lvl	8			stamdrain		50	50	res-pois		63	70	rep-dur	5			str		14	15	vit		14	15														0
Marrowwalk	370	100		1					1	1	74	66	umb	boneweave boots	0	5	5000	dgry							ac%		170	200	move2		20	20	charged	Bone Prison	13	33	charged	Life Tap	10	12	regen-stam		10	10	regen-mana		10	10	half-freeze		1	1	str		18	20	dex		17	17	skill	Skeleton Mastery	2	2										0
Heaven's Light	371	100		1					1	1	69	61	7sc	mighty scepter	0	5	5000	cblu	cblu						dmg%		288	300	swing2		20	20	reduce-ac		33	33	light		3	3	demon-heal		19	20	crush		33	33	sock		3	3	pal		3	3																		0
Merman's Speed	372	100			1																																																																					0
Arachnid Mesh	373	100		1					1	1	85	80	ulc	spiderweb sash	0	5	5000	blac	blac						ac%		90	120	cast2		20	20	charged	Venom	11	3	allskills		1	1	slow		10	10	mana%		5	5																										0
Nosferatu's Coil	374	100		1					1	1	68	51	uvc	vampirefang belt	0	5	5000								str		15	15	mana-kill		2	2	slow		10	10	lifesteal		7	7	swing2		10	10	light		-3	-3																										0
Metalgrid	375	100		1					2	1	85	81	amu	amulet	0	5	5000								ac		338	350	res-all		33	35	att		438	450	charged	IronGolem	11	22	charged	Iron Maiden	20	12																														0
Verdugo's Hearty Cord	376	100		1					1	1	71	63	umc	mithril coil	0	5	5000	blac	blac						ac%		90	140	vit		38	40	stam		115	120	balance2		10	10	red-dmg%		14	15	regen		13	13																										0
Sigurd's Staunch	377	100			1				1							5	5000																																																									0
Carrion Wind	378	100		1					3	1	68	60	rin	ring	0	3	5000								ac-miss		145	160	lifesteal		9	9	res-pois		55	55	gethit-skill	Poison Nova	10	10	charged	Plague Poppy	15	21	hit-skill	Twister	8	13	dmg-to-mana		10	10																						0
Giantskull	379	100		1					1	1	73	65	uh9	bone visage	0	3	5000	lgry	lgry		invbhm				ac		303	320	str		33	35	crush		10	10	sock		2	2	knock		1	1																														0
Ironward	380	100		1					1	1	68	60	7ws	caduceus	0	3	5000	blac	blac						dmg%		278	290	slow		25	25	att%		188	200	swing2		10	10	dmg-mag		200	240	red-dmg		7	7	dmg		74	85	skilltab	9	4	4	crush		33	33														0
Annihilus	381	100		1					1		85	70	cm1	charm	1002	3	5000			flpmss	invmss	item_gem	12	item_gem	allskills		1	1	all-stats		18	20	res-all		18	20	addxp		9	10																																		0
Arioc's Needle	382	100		1					1	1	85	81	7sr	hyperion spear	0	3	5000								dmg%		218	230	dmg-pois	250	403	403	deadly		50	50	ignore-ac		1	1	allskills		4	4	swing2		30	30																										0
Cranebeak	383	100		1					1	1	71	63	7mp	war spike	0	3	5000	dgry			invmpiu				dmg%		285	300	dmg-ltng		229	305	swing2		40	40	reduce-ac		25	25	mag%		43	50	charged	Raven	15	8																										0
Nord's Tenderizer	384	100		1					1	1	76	68	7cl	truncheon	0	3	5000				invclbu				dmg%		315	330	freeze		4	4	swing2		25	25	charged	Blizzard	12	16	att%		173	180	abs-cold%		13	15	dmg-cold	125	393	455																						0
Earthshifter	385	100		1					1	1	77	69	7gm	thunder maul	0	3	5000								dmg%		288	300	hit-skill	Eruption	25	14	crush		33	33	swing2		10	10	charged	Volcano	30	14	skilltab	17	7	7	cast2		10	10																						0
Wraithflight	386	100		1					1	1	84	76	7gl	ghost glaive	0	3	5000	dblu	dblu						dmg%		180	190	rep-quant	40			lifesteal		12	13	mana-kill		15	15	ethereal		1	1																														0
Bonehew	387	100		1					1	1	72	64	7o7	ogre axe	0	3	5000	bwht	bwht						dmg%		308	320	swing2		30	30	charged	Corpse Explosion	30	14	hit-skill	Bone Spear	50	16	noheal		1	1	sock		2	2																										0
Ondal's Wisdom	388	100		1					1	1	74	66	6cs	elder staff	0	3	5000				invcstu				cast2		45	45	enr		48	50	allskills		4	4	ac		525	550	addxp		5	5	red-mag		8	8																										0
The Reedeemer	389	100		1					1	1	80	72	7sc	mighty scepter	0	3	5000								dmg%		288	300	dmg-demon		238	250	pal		2	2	ease		-60	-60	skill	Redemption	4	4	skill	Holy Bolt	4	4	light		3	3	reduce-ac		33	33	dmg		105	120														0
Headhunter's Glory	390	100		1					1	1	83	75	ush	troll nest	0	3	5000				invbshu				ac		395	420	ac-miss		338	350	res-pois		38	40	sock		3	3	res-fire		28	30	heal-kill		7	7																										0
Steelrend	391	100		1					1	1	78	70	uhg	ogre gauntlets	0	3	5000								ac		200	210	str		19	20	dmg%		53	60	crush		10	10																																		0
JM Rainbow Facet Lightning Death	392	100		1					1	1	85	49	jew	jewel	0	3	5000								dmg-ltng		56	74	pierce-ltng		5	5	extra-ltng		5	5	death-skill	Chain Lightning	100	47																																		0
