Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
Godly	100	1	1	50		43				6	101	ac%		101	200									dgld	armo												0	0
Cruel	100	1	1	56		48				6	105	dmg%		291	300									blac	weap							staf	wand	orb			0	0
Virulent	100	0	1	92		75				1	307	pierce-pois	1	1	1										scha												0	0
Virulent	100	0	1	92		75				1	307	pierce-pois	1	1	2										ring	mcha											0	0
Virulent	100	0	1	92		75				1	307	pierce-pois	1	1	3										amul	glov	boot	belt	helm	lcha							0	0
Virulent	100	0	1	92		75				1	307	pierce-pois	1	1	4										shld	weap											0	0
Virulent	100	0	1	92		75				1	307	pierce-pois	1	2	8										tors												0	0
Incendiary	100	0	1	92		75				1	307	pierce-fire	1	1	1										scha												0	0
Incendiary	100	0	1	92		75				1	307	pierce-fire	1	1	2										ring	mcha											0	0
Incendiary	100	0	1	92		75				1	307	pierce-fire	1	1	3										amul	glov	boot	belt	helm	lcha							0	0
Incendiary	100	0	1	92		75				1	307	pierce-fire	1	1	4										shld	weap											0	0
Incendiary	100	0	1	92		75				1	307	pierce-fire	1	2	8										tors												0	0
Gelid	100	0	1	92		75				1	307	pierce-cold	1	1	1										scha												0	0
Gelid	100	0	1	92		75				1	307	pierce-cold	1	1	2										ring	mcha											0	0
Gelid	100	0	1	92		75				1	307	pierce-cold	1	1	3										amul	glov	boot	belt	helm	lcha							0	0
Gelid	100	0	1	92		75				1	307	pierce-cold	1	1	4										shld	weap											0	0
Gelid	100	0	1	92		75				1	307	pierce-cold	1	2	8										tors												0	0
Magnetic	100	0	1	92		75				1	307	pierce-ltng	1	1	1										scha												0	0
Magnetic	100	0	1	92		75				1	307	pierce-ltng	1	1	2										ring	mcha											0	0
Magnetic	100	0	1	92		75				1	307	pierce-ltng	1	1	3										amul	glov	boot	belt	helm	lcha							0	0
Magnetic	100	0	1	92		75				1	307	pierce-ltng	1	1	4										shld	weap											0	0
Magnetic	100	0	1	92		75				1	307	pierce-ltng	1	2	8										tors												0	0
Mystical	100	0	1	92		75				1	307	pierce-mag	1	1	1										scha												0	0
Mystical	100	0	1	92		75				1	307	pierce-mag	1	1	2										ring	mcha											0	0
Mystical	100	0	1	92		75				1	307	pierce-mag	1	1	3										amul	glov	boot	belt	helm	lcha							0	0
Mystical	100	0	1	92		75				1	307	pierce-mag	1	1	4										shld	weap											0	0
Mystical	100	0	1	92		75				1	307	pierce-mag	1	2	8										tors												0	0
Breaching	100	0	1	92		75				1	307	pierce-dmg	1	1	1										scha												0	0
Breaching	100	0	1	92		75				1	307	pierce-dmg	1	1	2										ring	mcha											0	0
Breaching	100	0	1	92		75				1	307	pierce-dmg	1	1	3										amul	glov	boot	belt	helm	lcha							0	0
Breaching	100	0	1	92		75				1	307	pierce-dmg	1	1	4										shld	weap											0	0
Breaching	100	0	1	92		75				1	307	pierce-dmg	1	2	8										tors												0	0
Chaotic	100	1	1	50		42	war			6	125	skilltab	23	1	1										lcha												0	0
Sullied	100	1	1	50		42	war			6	125	skilltab	22	1	1										lcha												0	0
Fiendish	100	1	1	50		42	war			6	125	skilltab	21	1	1										lcha												0	0
Chaotic	100	1	1	20		15	war			3	125	skilltab	23	1	1										knif	grim	amul	circ									0	0
Erratic	100	1	1	40		30	war			6	125	skilltab	23	2	2									lgld	knif	grim	amul	circ									0	0
Torrid	100	1		60		45	war			10	125	skilltab	23	3	3									lgld	knif	grim	amul	circ									0	0
Sullied	100	1	1	20		15	war			3	125	skilltab	22	1	1										knif	grim	amul	swor	circ			tkni					0	0
TaintedAffix	100	1	1	40		30	war			6	125	skilltab	22	2	2									lgld	knif	grim	amul	swor	circ			tkni					0	0
Forbidden	100	1		60		45	war			10	125	skilltab	22	3	3									lgld	knif	grim	amul	swor	circ			tkni					0	0
Fiendish	100	1	1	20		15	war			3	125	skilltab	21	1	1										knif	grim	amul	circ									0	0
Dreadful	100	1	1	40		30	war			6	125	skilltab	21	2	2									lgld	knif	grim	amul	circ									0	0
Malevolent	100	1		60		45	war			10	125	skilltab	21	3	3									lgld	knif	grim	amul	circ									0	0
Devil's	100	1	1	36		27	war			12	125	war		1	1										amul	circ												
Arch-Devil's	100	1	1	90		67	war			30	125	war		2	2									cgrn	amul	circ												
Devil's	100	1	1	30		22	war			12	125	war		1	1										knif	grim												
Arch-Devil's	100	1	1	50		42	war			12	125	war		2	2									cgrn	knif	grim												
Virulent	100	0	1	92		75				1	307	pierce-pois	1	2	8	Virulent-Affix1		0	1	Virulent-Affix2		0	1		lcha													
Incendiary	100	0	1	92		75				1	307	pierce-fire	1	2	8	Gelid-Affix1		0	1	Gelid-Affix2		0	1		lcha												0	0
Gelid	100	0	1	92		75				1	307	pierce-cold	1	2	8	Magnetic-Affix1		0	1	Magnetic-Affix2		0	1		tors												0	0
Magnetic	100	0	1	92		75				1	307	pierce-ltng	1	2	8	Incendiary-Affix1		0	1	Incendiary-Affix2		0	1		tors												0	0
Mystical	100	0	1	92		75				1	307	pierce-mag	1	2	8	Breaching-Affix1		0	1	Breaching-Affix2		0	1		tors												0	0
Breaching	100	0	1	92		75				1	307	pierce-dmg	1	2	8	Mystical-Affix1		0	1	Mystical-Affix2		0	1		tors												0	0
