description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
JM base-class-weapon SuperiorEthereal 37i	1				100					2	37i	804						"7xf,hiq,eth"	99																												37i	1																												804	1																												0
JM base-class-weapon next 37x	1				100					2	37x	tsc						37y																													tsc	1																																																									0
JM base-class-weapon previous 37x	1				100					2	37x	isc						37i																													isc	1																																																									0
JM base-class-weapon Normal 37x	1				100					2	37x	800						"wrb,nor"	99																												37x	1																												800	1																												0
JM base-class-weapon Superior 37x	1				100					2	37x	801						"wrb,hiq"	99																												37x	1																												801	1																												0
JM base-class-weapon Magic 37x	1				100					2	37x	802						"wrb,mag"	99																												37x	1																												802	1																												0
JM base-class-weapon Ethereal 37x	1				100					2	37x	803						"wrb,nor,eth"	99																												37x	1																												803	1																												0
JM base-class-weapon SuperiorEthereal 37x	1				100					2	37x	804						"wrb,hiq,eth"	99																												37x	1																												804	1																												0
JM base-class-weapon next 37y	1				100					2	37y	tsc						37z																													tsc	1																																																									0
JM base-class-weapon previous 37y	1				100					2	37y	isc						37x																													isc	1																																																									0
JM base-class-weapon Normal 37y	1				100					2	37y	800						"9wb,nor"	99																												37y	1																												800	1																												0
JM base-class-weapon Superior 37y	1				100					2	37y	801						"9wb,hiq"	99																												37y	1																												801	1																												0
JM base-class-weapon Magic 37y	1				100					2	37y	802						"9wb,mag"	99																												37y	1																												802	1																												0
JM base-class-weapon Ethereal 37y	1				100					2	37y	803						"9wb,nor,eth"	99																												37y	1																												803	1																												0
JM base-class-weapon SuperiorEthereal 37y	1				100					2	37y	804						"9wb,hiq,eth"	99																												37y	1																												804	1																												0
JM base-class-weapon next 37z	1				100					2	37z	tsc						304																													tsc	1																																																									0
JM base-class-weapon previous 37z	1				100					2	37z	isc						37y																													isc	1																																																									0
JM base-class-weapon Normal 37z	1				100					2	37z	800						"7wb,nor"	99																												37z	1																												800	1																												0
JM base-class-weapon Superior 37z	1				100					2	37z	801						"7wb,hiq"	99																												37z	1																												801	1																												0
JM base-class-weapon Magic 37z	1				100					2	37z	802						"7wb,mag"	99																												37z	1																												802	1																												0
JM base-class-weapon Ethereal 37z	1				100					2	37z	803						"7wb,nor,eth"	99																												37z	1																												803	1																												0
JM base-class-weapon SuperiorEthereal 37z	1				100					2	37z	804						"7wb,hiq,eth"	99																												37z	1																												804	1																												0
JM base-body next 388	1				100					2	388	tsc						38c																													tsc	1																																																									0
JM base-body previous 388	1				100					2	388	isc						3e0																													isc	1																																																									0
JM base-body Normal 388	1				100					2	388	800						"aar,nor"	99																												388	1																												800	1																												0
JM base-body Superior 388	1				100					2	388	801						"aar,hiq"	99																												388	1																												801	1																												0
JM base-body Magic 388	1				100					2	388	802						"aar,mag"	99																												388	1																												802	1																												0
JM base-body Ethereal 388	1				100					2	388	803						"aar,nor,eth"	99																												388	1																												803	1																												0
JM base-body SuperiorEthereal 388	1				100					2	388	804						"aar,hiq,eth"	99																												388	1																												804	1																												0
JM base-body next 38c	1				100					2	38c	tsc						38g																													tsc	1																																																									0
JM base-body previous 38c	1				100					2	38c	isc						388																													isc	1																																																									0
JM base-body Normal 38c	1				100					2	38c	800						"utp,nor"	99																												38c	1																												800	1																												0
JM base-body Superior 38c	1				100					2	38c	801						"utp,hiq"	99																												38c	1																												801	1																												0
JM base-body Magic 38c	1				100					2	38c	802						"utp,mag"	99																												38c	1																												802	1																												0
JM base-body Ethereal 38c	1				100					2	38c	803						"utp,nor,eth"	99																												38c	1																												803	1																												0
JM base-body SuperiorEthereal 38c	1				100					2	38c	804						"utp,hiq,eth"	99																												38c	1																												804	1																												0
JM base-body next 38g	1				100					2	38g	tsc						38v																													tsc	1																																																									0
JM base-body previous 38g	1				100					2	38g	isc						38c																													isc	1																																																									0
JM base-body Normal 38g	1				100					2	38g	800						"upl,nor"	99																												38g	1																												800	1																												0
JM base-body Superior 38g	1				100					2	38g	801						"upl,hiq"	99																												38g	1																												801	1																												0
JM base-body Magic 38g	1				100					2	38g	802						"upl,mag"	99																												38g	1																												802	1																												0
JM base-body Ethereal 38g	1				100					2	38g	803						"upl,nor,eth"	99																												38g	1																												803	1																												0
JM base-body SuperiorEthereal 38g	1				100					2	38g	804						"upl,hiq,eth"	99																												38g	1																												804	1																												0
JM base-body next 38v	1				100					2	38v	tsc						38z																													tsc	1																																																									0
JM base-body previous 38v	1				100					2	38v	isc						38g																													isc	1																																																									0
JM base-body Normal 38v	1				100					2	38v	800						"uhn,nor"	99																												38v	1																												800	1																												0
JM base-body Superior 38v	1				100					2	38v	801						"uhn,hiq"	99																												38v	1																												801	1																												0
JM base-body Magic 38v	1				100					2	38v	802						"uhn,mag"	99																												38v	1																												802	1																												0
JM base-body Ethereal 38v	1				100					2	38v	803						"uhn,nor,eth"	99																												38v	1																												803	1																												0
JM base-body SuperiorEthereal 38v	1				100					2	38v	804						"uhn,hiq,eth"	99																												38v	1																												804	1																												0
JM base-body next 38z	1				100					2	38z	tsc						398																													tsc	1																																																									0
JM base-body previous 38z	1				100					2	38z	isc						38v																													isc	1																																																									0
JM base-body Normal 38z	1				100					2	38z	800						"brs,nor"	99																												38z	1																												800	1																												0
JM base-body Superior 38z	1				100					2	38z	801						"brs,hiq"	99																												38z	1																												801	1																												0
JM base-body Magic 38z	1				100					2	38z	802						"brs,mag"	99																												38z	1																												802	1																												0
JM base-body Ethereal 38z	1				100					2	38z	803						"brs,nor,eth"	99																												38z	1																												803	1																												0
JM base-body SuperiorEthereal 38z	1				100					2	38z	804						"brs,hiq,eth"	99																												38z	1																												804	1																												0
JM base-body next 398	1				100					2	398	tsc						399																													tsc	1																																																									0
JM base-body previous 398	1				100					2	398	isc						38z																													isc	1																																																									0
JM base-body Normal 398	1				100					2	398	800						"chn,nor"	99																												398	1																												800	1																												0
JM base-body Superior 398	1				100					2	398	801						"chn,hiq"	99																												398	1																												801	1																												0
JM base-body Magic 398	1				100					2	398	802						"chn,mag"	99																												398	1																												802	1																												0
JM base-body Ethereal 398	1				100					2	398	803						"chn,nor,eth"	99																												398	1																												803	1																												0
JM base-body SuperiorEthereal 398	1				100					2	398	804						"chn,hiq,eth"	99																												398	1																												804	1																												0
JM base-body next 399	1				100					2	399	tsc						39k																													tsc	1																																																									0
JM base-body previous 399	1				100					2	399	isc						398																													isc	1																																																									0
JM base-body Normal 399	1				100					2	399	800						"xul,nor"	99																												399	1																												800	1																												0
JM base-body Superior 399	1				100					2	399	801						"xul,hiq"	99																												399	1																												801	1																												0
JM base-body Magic 399	1				100					2	399	802						"xul,mag"	99																												399	1																												802	1																												0
JM base-body Ethereal 399	1				100					2	399	803						"xul,nor,eth"	99																												399	1																												803	1																												0
JM base-body SuperiorEthereal 399	1				100					2	399	804						"xul,hiq,eth"	99																												399	1																												804	1																												0
JM base-body next 39k	1				100					2	39k	tsc						39r																													tsc	1																																																									0
JM base-body previous 39k	1				100					2	39k	isc						399																													isc	1																																																									0
JM base-body Normal 39k	1				100					2	39k	800						"xrs,nor"	99																												39k	1																												800	1																												0
JM base-body Superior 39k	1				100					2	39k	801						"xrs,hiq"	99																												39k	1																												801	1																												0
JM base-body Magic 39k	1				100					2	39k	802						"xrs,mag"	99																												39k	1																												802	1																												0
JM base-body Ethereal 39k	1				100					2	39k	803						"xrs,nor,eth"	99																												39k	1																												803	1																												0
JM base-body SuperiorEthereal 39k	1				100					2	39k	804						"xrs,hiq,eth"	99																												39k	1																												804	1																												0
JM base-body next 39r	1				100					2	39r	tsc						39x																													tsc	1																																																									0
JM base-body previous 39r	1				100					2	39r	isc						39k																													isc	1																																																									0
JM base-body Normal 39r	1				100					2	39r	800						"xla,nor"	99																												39r	1																												800	1																												0
JM base-body Superior 39r	1				100					2	39r	801						"xla,hiq"	99																												39r	1																												801	1																												0
JM base-body Magic 39r	1				100					2	39r	802						"xla,mag"	99																												39r	1																												802	1																												0
JM base-body Ethereal 39r	1				100					2	39r	803						"xla,nor,eth"	99																												39r	1																												803	1																												0
JM base-body SuperiorEthereal 39r	1				100					2	39r	804						"xla,hiq,eth"	99																												39r	1																												804	1																												0
JM base-body next 39x	1				100					2	39x	tsc						3a0																													tsc	1																																																									0
JM base-body previous 39x	1				100					2	39x	isc						39r																													isc	1																																																									0
JM base-body Normal 39x	1				100					2	39x	800						"ung,nor"	99																												39x	1																												800	1																												0
JM base-body Superior 39x	1				100					2	39x	801						"ung,hiq"	99																												39x	1																												801	1																												0
JM base-body Magic 39x	1				100					2	39x	802						"ung,mag"	99																												39x	1																												802	1																												0
JM base-body Ethereal 39x	1				100					2	39x	803						"ung,nor,eth"	99																												39x	1																												803	1																												0
JM base-body SuperiorEthereal 39x	1				100					2	39x	804						"ung,hiq,eth"	99																												39x	1																												804	1																												0
JM base-body next 3a0	1				100					2	3a0	tsc						3a2																													tsc	1																																																									0
JM base-body previous 3a0	1				100					2	3a0	isc						39x																													isc	1																																																									0
JM base-body Normal 3a0	1				100					2	3a0	800						"uui,nor"	99																												3a0	1																												800	1																												0
JM base-body Superior 3a0	1				100					2	3a0	801						"uui,hiq"	99																												3a0	1																												801	1																												0
JM base-body Magic 3a0	1				100					2	3a0	802						"uui,mag"	99																												3a0	1																												802	1																												0
JM base-body Ethereal 3a0	1				100					2	3a0	803						"uui,nor,eth"	99																												3a0	1																												803	1																												0
JM base-body SuperiorEthereal 3a0	1				100					2	3a0	804						"uui,hiq,eth"	99																												3a0	1																												804	1																												0
JM base-body next 3a2	1				100					2	3a2	tsc						3a6																													tsc	1																																																									0
JM base-body previous 3a2	1				100					2	3a2	isc						3a0																													isc	1																																																									0
JM base-body Normal 3a2	1				100					2	3a2	800						"xth,nor"	99																												3a2	1																												800	1																												0
JM base-body Superior 3a2	1				100					2	3a2	801						"xth,hiq"	99																												3a2	1																												801	1																												0
JM base-body Magic 3a2	1				100					2	3a2	802						"xth,mag"	99																												3a2	1																												802	1																												0
JM base-body Ethereal 3a2	1				100					2	3a2	803						"xth,nor,eth"	99																												3a2	1																												803	1																												0
JM base-body SuperiorEthereal 3a2	1				100					2	3a2	804						"xth,hiq,eth"	99																												3a2	1																												804	1																												0
JM base-body next 3a6	1				100					2	3a6	tsc						3a9																													tsc	1																																																									0
JM base-body previous 3a6	1				100					2	3a6	isc						3a2																													isc	1																																																									0
JM base-body Normal 3a6	1				100					2	3a6	800						"fld,nor"	99																												3a6	1																												800	1																												0
JM base-body Superior 3a6	1				100					2	3a6	801						"fld,hiq"	99																												3a6	1																												801	1																												0
JM base-body Magic 3a6	1				100					2	3a6	802						"fld,mag"	99																												3a6	1																												802	1																												0
JM base-body Ethereal 3a6	1				100					2	3a6	803						"fld,nor,eth"	99																												3a6	1																												803	1																												0
JM base-body SuperiorEthereal 3a6	1				100					2	3a6	804						"fld,hiq,eth"	99																												3a6	1																												804	1																												0
JM base-body next 3a9	1				100					2	3a9	tsc						3ad																													tsc	1																																																									0
JM base-body previous 3a9	1				100					2	3a9	isc						3a6																													isc	1																																																									0
JM base-body Normal 3a9	1				100					2	3a9	800						"ful,nor"	99																												3a9	1																												800	1																												0
JM base-body Superior 3a9	1				100					2	3a9	801						"ful,hiq"	99																												3a9	1																												801	1																												0
JM base-body Magic 3a9	1				100					2	3a9	802						"ful,mag"	99																												3a9	1																												802	1																												0
JM base-body Ethereal 3a9	1				100					2	3a9	803						"ful,nor,eth"	99																												3a9	1																												803	1																												0
JM base-body SuperiorEthereal 3a9	1				100					2	3a9	804						"ful,hiq,eth"	99																												3a9	1																												804	1																												0
JM base-body next 3ad	1				100					2	3ad	tsc						3ag																													tsc	1																																																									0
JM base-body previous 3ad	1				100					2	3ad	isc						3a9																													isc	1																																																									0
JM base-body Normal 3ad	1				100					2	3ad	800						"xui,nor"	99																												3ad	1																												800	1																												0
JM base-body Superior 3ad	1				100					2	3ad	801						"xui,hiq"	99																												3ad	1																												801	1																												0
JM base-body Magic 3ad	1				100					2	3ad	802						"xui,mag"	99																												3ad	1																												802	1																												0
JM base-body Ethereal 3ad	1				100					2	3ad	803						"xui,nor,eth"	99																												3ad	1																												803	1																												0
JM base-body SuperiorEthereal 3ad	1				100					2	3ad	804						"xui,hiq,eth"	99																												3ad	1																												804	1																												0
JM base-body next 3ag	1				100					2	3ag	tsc						3aj																													tsc	1																																																									0
JM base-body previous 3ag	1				100					2	3ag	isc						3ad																													isc	1																																																									0
JM base-body Normal 3ag	1				100					2	3ag	800						"gth,nor"	99																												3ag	1																												800	1																												0
JM base-body Superior 3ag	1				100					2	3ag	801						"gth,hiq"	99																												3ag	1																												801	1																												0
JM base-body Magic 3ag	1				100					2	3ag	802						"gth,mag"	99																												3ag	1																												802	1																												0
JM base-body Ethereal 3ag	1				100					2	3ag	803						"gth,nor,eth"	99																												3ag	1																												803	1																												0
JM base-body SuperiorEthereal 3ag	1				100					2	3ag	804						"gth,hiq,eth"	99																												3ag	1																												804	1																												0
JM base-body next 3aj	1				100					2	3aj	tsc						3ar																													tsc	1																																																									0
JM base-body previous 3aj	1				100					2	3aj	isc						3ag																													isc	1																																																									0
JM base-body Normal 3aj	1				100					2	3aj	800						"urs,nor"	99																												3aj	1																												800	1																												0
JM base-body Superior 3aj	1				100					2	3aj	801						"urs,hiq"	99																												3aj	1																												801	1																												0
JM base-body Magic 3aj	1				100					2	3aj	802						"urs,mag"	99																												3aj	1																												802	1																												0
JM base-body Ethereal 3aj	1				100					2	3aj	803						"urs,nor,eth"	99																												3aj	1																												803	1																												0
JM base-body SuperiorEthereal 3aj	1				100					2	3aj	804						"urs,hiq,eth"	99																												3aj	1																												804	1																												0
JM base-body next 3ar	1				100					2	3ar	tsc						3az																													tsc	1																																																									0
JM base-body previous 3ar	1				100					2	3ar	isc						3aj																													isc	1																																																									0
JM base-body Normal 3ar	1				100					2	3ar	800						"hla,nor"	99																												3ar	1																												800	1																												0
JM base-body Superior 3ar	1				100					2	3ar	801						"hla,hiq"	99																												3ar	1																												801	1																												0
JM base-body Magic 3ar	1				100					2	3ar	802						"hla,mag"	99																												3ar	1																												802	1																												0
JM base-body Ethereal 3ar	1				100					2	3ar	803						"hla,nor,eth"	99																												3ar	1																												803	1																												0
JM base-body SuperiorEthereal 3ar	1				100					2	3ar	804						"hla,hiq,eth"	99																												3ar	1																												804	1																												0
JM base-body next 3az	1				100					2	3az	tsc						3ba																													tsc	1																																																									0
JM base-body previous 3az	1				100					2	3az	isc						3ar																													isc	1																																																									0
JM base-body Normal 3az	1				100					2	3az	800						"ult,nor"	99																												3az	1																												800	1																												0
JM base-body Superior 3az	1				100					2	3az	801						"ult,hiq"	99																												3az	1																												801	1																												0
JM base-body Magic 3az	1				100					2	3az	802						"ult,mag"	99																												3az	1																												802	1																												0
JM base-body Ethereal 3az	1				100					2	3az	803						"ult,nor,eth"	99																												3az	1																												803	1																												0
JM base-body SuperiorEthereal 3az	1				100					2	3az	804						"ult,hiq,eth"	99																												3az	1																												804	1																												0
JM base-body next 3ba	1				100					2	3ba	tsc						3bb																													tsc	1																																																									0
JM base-body previous 3ba	1				100					2	3ba	isc						3az																													isc	1																																																									0
JM base-body Normal 3ba	1				100					2	3ba	800						"uld,nor"	99																												3ba	1																												800	1																												0
JM base-body Superior 3ba	1				100					2	3ba	801						"uld,hiq"	99																												3ba	1																												801	1																												0
JM base-body Magic 3ba	1				100					2	3ba	802						"uld,mag"	99																												3ba	1																												802	1																												0
JM base-body Ethereal 3ba	1				100					2	3ba	803						"uld,nor,eth"	99																												3ba	1																												803	1																												0
JM base-body SuperiorEthereal 3ba	1				100					2	3ba	804						"uld,hiq,eth"	99																												3ba	1																												804	1																												0
JM base-body next 3bb	1				100					2	3bb	tsc						3bd																													tsc	1																																																									0
JM base-body previous 3bb	1				100					2	3bb	isc						3ba																													isc	1																																																									0
JM base-body Normal 3bb	1				100					2	3bb	800						"uth,nor"	99																												3bb	1																												800	1																												0
JM base-body Superior 3bb	1				100					2	3bb	801						"uth,hiq"	99																												3bb	1																												801	1																												0
JM base-body Magic 3bb	1				100					2	3bb	802						"uth,mag"	99																												3bb	1																												802	1																												0
JM base-body Ethereal 3bb	1				100					2	3bb	803						"uth,nor,eth"	99																												3bb	1																												803	1																												0
JM base-body SuperiorEthereal 3bb	1				100					2	3bb	804						"uth,hiq,eth"	99																												3bb	1																												804	1																												0
JM base-body next 3bd	1				100					2	3bd	tsc						3bh																													tsc	1																																																									0
JM base-body previous 3bd	1				100					2	3bd	isc						3bb																													isc	1																																																									0
JM base-body Normal 3bd	1				100					2	3bd	800						"lea,nor"	99																												3bd	1																												800	1																												0
JM base-body Superior 3bd	1				100					2	3bd	801						"lea,hiq"	99																												3bd	1																												801	1																												0
JM base-body Magic 3bd	1				100					2	3bd	802						"lea,mag"	99																												3bd	1																												802	1																												0
JM base-body Ethereal 3bd	1				100					2	3bd	803						"lea,nor,eth"	99																												3bd	1																												803	1																												0
JM base-body SuperiorEthereal 3bd	1				100					2	3bd	804						"lea,hiq,eth"	99																												3bd	1																												804	1																												0
JM base-body next 3bh	1				100					2	3bh	tsc						3bj																													tsc	1																																																									0
JM base-body previous 3bh	1				100					2	3bh	isc						3bd																													isc	1																																																									0
JM base-body Normal 3bh	1				100					2	3bh	800						"ltp,nor"	99																												3bh	1																												800	1																												0
JM base-body Superior 3bh	1				100					2	3bh	801						"ltp,hiq"	99																												3bh	1																												801	1																												0
JM base-body Magic 3bh	1				100					2	3bh	802						"ltp,mag"	99																												3bh	1																												802	1																												0
JM base-body Ethereal 3bh	1				100					2	3bh	803						"ltp,nor,eth"	99																												3bh	1																												803	1																												0
JM base-body SuperiorEthereal 3bh	1				100					2	3bh	804						"ltp,hiq,eth"	99																												3bh	1																												804	1																												0
JM base-body next 3bj	1				100					2	3bj	tsc						3bl																													tsc	1																																																									0
JM base-body previous 3bj	1				100					2	3bj	isc						3bh																													isc	1																																																									0
JM base-body Normal 3bj	1				100					2	3bj	800						"xng,nor"	99																												3bj	1																												800	1																												0
JM base-body Superior 3bj	1				100					2	3bj	801						"xng,hiq"	99																												3bj	1																												801	1																												0
JM base-body Magic 3bj	1				100					2	3bj	802						"xng,mag"	99																												3bj	1																												802	1																												0
JM base-body Ethereal 3bj	1				100					2	3bj	803						"xng,nor,eth"	99																												3bj	1																												803	1																												0
JM base-body SuperiorEthereal 3bj	1				100					2	3bj	804						"xng,hiq,eth"	99																												3bj	1																												804	1																												0
JM base-body next 3bl	1				100					2	3bl	tsc						3bn																													tsc	1																																																									0
JM base-body previous 3bl	1				100					2	3bl	isc						3bj																													isc	1																																																									0
JM base-body Normal 3bl	1				100					2	3bl	800						"ucl,nor"	99																												3bl	1																												800	1																												0
JM base-body Superior 3bl	1				100					2	3bl	801						"ucl,hiq"	99																												3bl	1																												801	1																												0
JM base-body Magic 3bl	1				100					2	3bl	802						"ucl,mag"	99																												3bl	1																												802	1																												0
JM base-body Ethereal 3bl	1				100					2	3bl	803						"ucl,nor,eth"	99																												3bl	1																												803	1																												0
JM base-body SuperiorEthereal 3bl	1				100					2	3bl	804						"ucl,hiq,eth"	99																												3bl	1																												804	1																												0
JM base-body next 3bn	1				100					2	3bn	tsc						3bp																													tsc	1																																																									0
JM base-body previous 3bn	1				100					2	3bn	isc						3bl																													isc	1																																																									0
JM base-body Normal 3bn	1				100					2	3bn	800						"xtp,nor"	99																												3bn	1																												800	1																												0
JM base-body Superior 3bn	1				100					2	3bn	801						"xtp,hiq"	99																												3bn	1																												801	1																												0
JM base-body Magic 3bn	1				100					2	3bn	802						"xtp,mag"	99																												3bn	1																												802	1																												0
JM base-body Ethereal 3bn	1				100					2	3bn	803						"xtp,nor,eth"	99																												3bn	1																												803	1																												0
JM base-body SuperiorEthereal 3bn	1				100					2	3bn	804						"xtp,hiq,eth"	99																												3bn	1																												804	1																												0
JM base-body next 3bp	1				100					2	3bp	tsc						3c2																													tsc	1																																																									0
JM base-body previous 3bp	1				100					2	3bp	isc						3bn																													isc	1																																																									0
JM base-body Normal 3bp	1				100					2	3bp	800						"xhn,nor"	99																												3bp	1																												800	1																												0
JM base-body Superior 3bp	1				100					2	3bp	801						"xhn,hiq"	99																												3bp	1																												801	1																												0
JM base-body Magic 3bp	1				100					2	3bp	802						"xhn,mag"	99																												3bp	1																												802	1																												0
JM base-body Ethereal 3bp	1				100					2	3bp	803						"xhn,nor,eth"	99																												3bp	1																												803	1																												0
JM base-body SuperiorEthereal 3bp	1				100					2	3bp	804						"xhn,hiq,eth"	99																												3bp	1																												804	1																												0
JM base-body next 3c2	1				100					2	3c2	tsc						3c5																													tsc	1																																																									0
JM base-body previous 3c2	1				100					2	3c2	isc						3bp																													isc	1																																																									0
JM base-body Normal 3c2	1				100					2	3c2	800						"xar,nor"	99																												3c2	1																												800	1																												0
JM base-body Superior 3c2	1				100					2	3c2	801						"xar,hiq"	99																												3c2	1																												801	1																												0
JM base-body Magic 3c2	1				100					2	3c2	802						"xar,mag"	99																												3c2	1																												802	1																												0
JM base-body Ethereal 3c2	1				100					2	3c2	803						"xar,nor,eth"	99																												3c2	1																												803	1																												0
JM base-body SuperiorEthereal 3c2	1				100					2	3c2	804						"xar,hiq,eth"	99																												3c2	1																												804	1																												0
JM base-body next 3c5	1				100					2	3c5	tsc						3cb																													tsc	1																																																									0
JM base-body previous 3c5	1				100					2	3c5	isc						3c2																													isc	1																																																									0
JM base-body Normal 3c5	1				100					2	3c5	800						"plt,nor"	99																												3c5	1																												800	1																												0
JM base-body Superior 3c5	1				100					2	3c5	801						"plt,hiq"	99																												3c5	1																												801	1																												0
JM base-body Magic 3c5	1				100					2	3c5	802						"plt,mag"	99																												3c5	1																												802	1																												0
JM base-body Ethereal 3c5	1				100					2	3c5	803						"plt,nor,eth"	99																												3c5	1																												803	1																												0
JM base-body SuperiorEthereal 3c5	1				100					2	3c5	804						"plt,hiq,eth"	99																												3c5	1																												804	1																												0
JM base-body next 3cb	1				100					2	3cb	tsc						3cd																													tsc	1																																																									0
JM base-body previous 3cb	1				100					2	3cb	isc						3c5																													isc	1																																																									0
JM base-body Normal 3cb	1				100					2	3cb	800						"qui,nor"	99																												3cb	1																												800	1																												0
JM base-body Superior 3cb	1				100					2	3cb	801						"qui,hiq"	99																												3cb	1																												801	1																												0
JM base-body Magic 3cb	1				100					2	3cb	802						"qui,mag"	99																												3cb	1																												802	1																												0
JM base-body Ethereal 3cb	1				100					2	3cb	803						"qui,nor,eth"	99																												3cb	1																												803	1																												0
JM base-body SuperiorEthereal 3cb	1				100					2	3cb	804						"qui,hiq,eth"	99																												3cb	1																												804	1																												0
JM base-body next 3cd	1				100					2	3cd	tsc						3ch																													tsc	1																																																									0
JM base-body previous 3cd	1				100					2	3cd	isc						3cb																													isc	1																																																									0
JM base-body Normal 3cd	1				100					2	3cd	800						"rng,nor"	99																												3cd	1																												800	1																												0
JM base-body Superior 3cd	1				100					2	3cd	801						"rng,hiq"	99																												3cd	1																												801	1																												0
JM base-body Magic 3cd	1				100					2	3cd	802						"rng,mag"	99																												3cd	1																												802	1																												0
JM base-body Ethereal 3cd	1				100					2	3cd	803						"rng,nor,eth"	99																												3cd	1																												803	1																												0
JM base-body SuperiorEthereal 3cd	1				100					2	3cd	804						"rng,hiq,eth"	99																												3cd	1																												804	1																												0
JM base-body next 3ch	1				100					2	3ch	tsc						3ci																													tsc	1																																																									0
JM base-body previous 3ch	1				100					2	3ch	isc						3cd																													isc	1																																																									0
JM base-body Normal 3ch	1				100					2	3ch	800						"xpl,nor"	99																												3ch	1																												800	1																												0
JM base-body Superior 3ch	1				100					2	3ch	801						"xpl,hiq"	99																												3ch	1																												801	1																												0
JM base-body Magic 3ch	1				100					2	3ch	802						"xpl,mag"	99																												3ch	1																												802	1																												0
JM base-body Ethereal 3ch	1				100					2	3ch	803						"xpl,nor,eth"	99																												3ch	1																												803	1																												0
JM base-body SuperiorEthereal 3ch	1				100					2	3ch	804						"xpl,hiq,eth"	99																												3ch	1																												804	1																												0
JM base-body next 3ci	1				100					2	3ci	tsc						3cp																													tsc	1																																																									0
JM base-body previous 3ci	1				100					2	3ci	isc						3ch																													isc	1																																																									0
JM base-body Normal 3ci	1				100					2	3ci	800						"uar,nor"	99																												3ci	1																												800	1																												0
JM base-body Superior 3ci	1				100					2	3ci	801						"uar,hiq"	99																												3ci	1																												801	1																												0
JM base-body Magic 3ci	1				100					2	3ci	802						"uar,mag"	99																												3ci	1																												802	1																												0
JM base-body Ethereal 3ci	1				100					2	3ci	803						"uar,nor,eth"	99																												3ci	1																												803	1																												0
JM base-body SuperiorEthereal 3ci	1				100					2	3ci	804						"uar,hiq,eth"	99																												3ci	1																												804	1																												0
JM base-body next 3cp	1				100					2	3cp	tsc						3cq																													tsc	1																																																									0
JM base-body previous 3cp	1				100					2	3cp	isc						3ci																													isc	1																																																									0
JM base-body Normal 3cp	1				100					2	3cp	800						"scl,nor"	99																												3cp	1																												800	1																												0
JM base-body Superior 3cp	1				100					2	3cp	801						"scl,hiq"	99																												3cp	1																												801	1																												0
JM base-body Magic 3cp	1				100					2	3cp	802						"scl,mag"	99																												3cp	1																												802	1																												0
JM base-body Ethereal 3cp	1				100					2	3cp	803						"scl,nor,eth"	99																												3cp	1																												803	1																												0
JM base-body SuperiorEthereal 3cp	1				100					2	3cp	804						"scl,hiq,eth"	99																												3cp	1																												804	1																												0
JM base-body next 3cq	1				100					2	3cq	tsc						3ct																													tsc	1																																																									0
JM base-body previous 3cq	1				100					2	3cq	isc						3cp																													isc	1																																																									0
JM base-body Normal 3cq	1				100					2	3cq	800						"ula,nor"	99																												3cq	1																												800	1																												0
JM base-body Superior 3cq	1				100					2	3cq	801						"ula,hiq"	99																												3cq	1																												801	1																												0
JM base-body Magic 3cq	1				100					2	3cq	802						"ula,mag"	99																												3cq	1																												802	1																												0
JM base-body Ethereal 3cq	1				100					2	3cq	803						"ula,nor,eth"	99																												3cq	1																												803	1																												0
JM base-body SuperiorEthereal 3cq	1				100					2	3cq	804						"ula,hiq,eth"	99																												3cq	1																												804	1																												0
JM base-body next 3ct	1				100					2	3ct	tsc						3cv																													tsc	1																																																									0
JM base-body previous 3ct	1				100					2	3ct	isc						3cq																													isc	1																																																									0
JM base-body Normal 3ct	1				100					2	3ct	800						"xea,nor"	99																												3ct	1																												800	1																												0
JM base-body Superior 3ct	1				100					2	3ct	801						"xea,hiq"	99																												3ct	1																												801	1																												0
JM base-body Magic 3ct	1				100					2	3ct	802						"xea,mag"	99																												3ct	1																												802	1																												0
